Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality
EH6 7WW,Yes,55.956737,-3.124486,329888,674317,NT298743,"Craigentinny/Duddingston","",2005-09-01,,15,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7WX,No,55.956737,-3.124486,329888,674317,NT298743,"Craigentinny/Duddingston","",2005-09-01,2018-12-01,15,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7YB,No,55.973468,-3.165992,327328,676221,NT273762,"Leith","",1996-06-01,1996-12-01,9,Scotland,2019-02-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference"
EH6 7YD,No,55.973468,-3.165992,327328,676221,NT273762,"Leith","",1996-06-01,2013-12-01,9,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7YE,No,55.971702,-3.159818,327710,676018,NT277760,"Leith","",1996-06-01,2000-09-01,8,Scotland,2019-02-23,"Postcode sector mean (mainly PO Boxes)"
EH6 7YF,No,55.973468,-3.165992,327328,676221,NT273762,"Leith","",1996-06-01,1996-12-01,9,Scotland,2019-02-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference"
EH6 7YH,No,55.956737,-3.124486,329888,674317,NT298743,"Craigentinny/Duddingston","",1996-06-01,2017-06-01,15,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7YJ,No,55.960382,-3.176699,326635,674776,NT266747,"Leith Walk","",2002-06-01,2003-08-01,29,Scotland,2019-02-23,"Imputed by ONS by reference to surrounding postcode grid references"
EH6 7YL,No,55.971702,-3.159818,327710,676018,NT277760,"Leith","",1997-12-01,2000-09-01,8,Scotland,2019-02-23,"Postcode sector mean (mainly PO Boxes)"
EH6 7YN,No,55.956737,-3.124486,329888,674317,NT298743,"Craigentinny/Duddingston","",1998-06-01,2012-04-01,15,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7YP,No,55.973468,-3.165992,327328,676221,NT273762,"Leith","",1998-12-01,1999-06-01,9,Scotland,2019-02-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference"
EH6 7YQ,No,55.971702,-3.159818,327710,676018,NT277760,"Leith","",1998-12-01,2000-06-01,8,Scotland,2019-02-23,"Postcode sector mean (mainly PO Boxes)"
EH6 7YR,No,55.960382,-3.176699,326635,674776,NT266747,"Leith Walk","",2002-06-01,2003-06-01,29,Scotland,2019-02-23,"Imputed by ONS by reference to surrounding postcode grid references"
EH6 7YS,No,55.960382,-3.176699,326635,674776,NT266747,"Leith Walk","",2002-06-01,2005-09-01,29,Scotland,2019-02-23,"Imputed by ONS by reference to surrounding postcode grid references"
EH6 7YT,No,55.960382,-3.176699,326635,674776,NT266747,"Leith Walk","",2002-07-01,2006-11-01,29,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7YU,No,55.960382,-3.176699,326635,674776,NT266747,"Leith Walk","",2004-02-01,2006-01-01,29,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7YW,No,55.972551,-3.177373,326616,676131,NT266761,"Leith","",2008-08-01,2009-08-01,11,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7YX,No,55.960382,-3.176699,326635,674776,NT266747,"Leith Walk","",2003-10-01,2010-12-01,29,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7YY,No,55.960382,-3.176699,326635,674776,NT266747,"Leith Walk","",2004-05-01,2005-08-01,29,Scotland,2019-02-23,"Imputed by ONS by reference to surrounding postcode grid references"
EH6 7YZ,No,55.972551,-3.177373,326616,676131,NT266761,"Leith","",2004-07-01,2006-11-01,11,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AA,Yes,55.969327,-3.162983,327508,675757,NT275757,"Leith","",1980-01-01,,11,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AB,Yes,55.969455,-3.16185,327579,675770,NT275757,"Leith","",1980-01-01,,12,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AD,Yes,55.969562,-3.160908,327638,675781,NT276757,"Leith","",1980-01-01,,12,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AE,Yes,55.968927,-3.166304,327300,675716,NT273757,"Leith","",1980-01-01,,15,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AF,Yes,55.969124,-3.164547,327410,675736,NT274757,"Leith","",1980-01-01,,12,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AG,Yes,55.96883,-3.163273,327489,675702,NT274757,"Leith","",1980-01-01,,14,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AH,Yes,55.968861,-3.162889,327513,675705,NT275757,"Leith","",1980-01-01,,14,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AJ,Yes,55.969559,-3.160653,327654,675781,NT276757,"Leith","",1980-01-01,,12,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AL,Yes,55.968879,-3.162826,327517,675707,NT275757,"Leith","",1980-01-01,,14,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AN,Yes,55.96849,-3.162221,327554,675663,NT275756,"Leith","",1980-01-01,,18,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AP,Yes,55.969062,-3.161598,327594,675726,NT275757,"Leith","",1980-01-01,,14,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AQ,Yes,55.968421,-3.162828,327516,675656,NT275756,"Leith","",1980-01-01,,17,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AR,Yes,55.968567,-3.161599,327593,675671,NT275756,"Leith","",1980-01-01,,18,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AS,Yes,55.969062,-3.161598,327594,675726,NT275757,"Leith","",1980-01-01,,14,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AT,Yes,55.968985,-3.161115,327624,675717,NT276757,"Leith","",1980-01-01,,15,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AU,No,55.969259,-3.161651,327591,675748,NT275757,"Leith","",1980-01-01,2000-06-01,13,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AW,Yes,55.968946,-3.162379,327545,675714,NT275757,"Leith","",1980-01-01,,14,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AX,Yes,55.968985,-3.161115,327624,675717,NT276757,"Leith","",1980-01-01,,15,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AY,Yes,55.969053,-3.160636,327654,675724,NT276757,"Leith","",1980-01-01,,14,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8AZ,Yes,55.969138,-3.160206,327681,675733,NT276757,"Leith","",1980-01-01,,15,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8BA,Yes,55.96925,-3.159729,327711,675745,NT277757,"Leith","",1980-01-01,,14,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 8BB,Yes,55.969327,-3.159234,327742,675754,NT277757,"Leith","",1980-01-01,,13,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
